Name	Set	ImageFile	Type	Affil	Text	Int/Rng	Cun/Wpn	Str/Shd	Points	Icons	Staff
Hail	Alternate_Universe	Alternate_Universe_Interrupt_Hail	Interrupt		"Plays on any ship ""flying by"" one of your ships; it must stop at your location. OR Select two ships; they cannot battle each other this turn."						
Paul Rice	Alternate_Universe	Alternate_Universe_Personnel_Paul_Rice	Personnel	Federation	OFFICER Leadership Computer Skill Nullifies one {Echo Papa 607} where present.	7	7	6		[Cmd][Holo]	
Targ	Alternate_Universe	Alternate_Universe_Personnel_Targ	Personnel	Klingon	ANIMAL All non-Targ Klingons STRENGTH +1 where present. Nullifies one just-played {Rogue Borg} where present.	4	1	5			
Berlingoff Rasmussen	Alternate_Universe	Alternate_Universe_Personnel_Berlingoff_Rasmussen	Personnel	Non-Aligned	CIVILIAN Treachery Archaeology Greed May nullify {Time Travel Pod} if present. (Discard both.)	2	6	4		[AU]	
Beverly Picard	Alternate_Universe	Alternate_Universe_Personnel_Beverly_Picard	Personnel	Federation	OFFICER MEDICAL x 2 Leadership Biology	8	8	4		[AU][Cmd]	
Ajur	Alternate_Universe	Alternate_Universe_Personnel_Ajur	Personnel	Non-Aligned	SECURITY Once per game, if alone with Archaeology on a planet, may peek at all but 3 seed cards here (opponent's choice).	1	8	3		[AU][Stf]	
Alien Labyrinth	Alternate_Universe	Alternate_Universe_Dilemma_Alien_Labyrinth	Dilemma		To get through this maze-like structure and continue, Away Team must have {a Tricorder} OR 2 ENGINEER.						
Alternate Universe Door	Alternate_Universe	Alternate_Universe_Doorway_Alternate_Universe_Door	Doorway		Place one on table during the seed phase. Door is now open, allowing your [AU] icon cards to enter play. OR Stock in deck and use as follows: Plays to nullify one {Revolving Door} or {Subspace Schism}. (Discard doorway.) OR Allows one ship to pass through {Q-Net}. (Discard doorway.) OR Nullify one {Temporal Rift}, and return doorway to your hand.						
Anti-Matter Spread	Alternate_Universe	Alternate_Universe_Interrupt_Anti-Matter_Spread	Interrupt		Plays at start of ship battle. For this battle, opposing ships' WEAPONS -1 for each personnel aboard with CUNNING<8 OR {Borg Ship} WEAPONS=16 this turn.						
Montgomery Scott	Alternate_Universe	Alternate_Universe_Personnel_Montgomery_Scott	Personnel	Federation	ENGINEER ENGINEER Astrophysics Honor Miracle Worker Transporter Skill	7	8	3		[Cmd]	
Mot's Advice	Alternate_Universe	Alternate_Universe_Event_Mot's_Advice	Event		Plays on any one personnel. While in play, that personnel gains the skill of Barbering.						
Tama	Alternate_Universe	Alternate_Universe_Ship_Tama	Ship	Non-Aligned	Particle Scattering Device	7	9	8			[Cmd][Stf]
Tasha Yar - Alternate	Alternate_Universe	Alternate_Universe_Personnel_Tasha_Yar_-_Alternate	Personnel	Federation	SECURITY Honor Leadership DL/ {Starfleet Type II Phaser}	8	7	8		[AU][Stf]	
Barclay Transporter Phobia	Alternate_Universe	Alternate_Universe_Interrupt_Barclay_Transporter_Phobia	Interrupt		Plays during transport by beaming, {Dimensional Shifting} or {Iconian Gateway}. One personnel (random selection) refuses all transport until cured with {Plexing}.						
Baryon Buildup	Alternate_Universe	Alternate_Universe_Event_Baryon_Buildup	Event		Plays on ship. RANGE is reduced by 2. (Cumulative.) Nullified if ship is empty and docked at your facility at the beginning of your turn.						
Boratus	Alternate_Universe	Alternate_Universe_Personnel_Boratus	Personnel	Non-Aligned	SECURITY Once per game, if alone with Archaeology on a planet, may peek at all but 3 seed cards here (opponent's choice).	1	5	7		[AU]	
Brain Drain	Alternate_Universe	Alternate_Universe_Interrupt_Brain_Drain	Interrupt		Plays (once every turn) on any crew or Away Team. Remove all skills and CUNNING from one personnel present until end of turn. OR Plays on {Interphasic Plasma Creatures}, doubling effects.					[AU]	
Brute Force	Alternate_Universe	Alternate_Universe_Mission_Brute_Force	Mission	[KLI]	STRENGTH>10 x number of Away Team members (minimum 3 personnel).				30		
