Name	Set	ImageFile	Type	Affil	Text	Int/Rng	Cun/Wpn	Str/Shd	Points	Icons	Staff
Haakona	PR	PR_Ship_Haakona	Ship	Romulan	Cloaking Device, Tractor Beam	8	9	8			[Cmd][Stf][Stf]
Hannah Bates	PR	PR_Personnel_Hannah_Bates	Personnel	Federation	SCIENCE Physics	6	8	2			
Type VI Shuttlecraft	PR	PR_Ship_Type_VI_Shuttlecraft	Ship	Federation		6	2	2			
U.S.S. Excelsior	PR	PR_Ship_U.S.S._Excelsior	Ship	Federation	Tractor Beam	6	6	7			[Stf][Stf]
U.S.S. Galaxy	PR	PR_Ship_U.S.S._Galaxy	Ship	Federation	Holodeck, Tractor Beam	8	7	9			[Cmd][Stf][Stf]
U.S.S. Miranda	PR	PR_Ship_U.S.S._Miranda	Ship	Federation	Tractor Beam	6	5	5			[Stf]
U.S.S. Nebula	PR	PR_Ship_U.S.S._Nebula	Ship	Federation	Holodeck, Tractor Beam	8	7	8			[Cmd][Stf]
U.S.S. Oberth	PR	PR_Ship_U.S.S._Oberth	Ship	Federation	Tractor Beam	6	4	7			[Stf]
Varel	PR	PR_Personnel_Varel	Personnel	Romulan	SCIENCE Physics Computer Skill Youth	4	7	5		[Stf]	
Vekma	PR	PR_Personnel_Vekma	Personnel	Klingon	MEDICAL Honor	6	5	6		[Stf]	
Albert Einstein	PR	PR_Personnel_Albert_Einstein	Personnel	Federation	SCIENCE Physics x 2 Astrophysics	9	11	2		[Holo]	
Batrell	PR	PR_Personnel_Batrell	Personnel	Klingon	OFFICER Honor	7	3	7		[Cmd]	
B'iJik	PR	PR_Personnel_B'iJik	Personnel	Klingon	OFFICER Navigation	4	6	6		[Stf]	
Calloway	PR	PR_Personnel_Calloway	Personnel	Federation	MEDICAL Youth	7	5	3			
Christopher Hobson	PR	PR_Personnel_Christopher_Hobson	Personnel	Federation	OFFICER Computer Skill	6	7	6		[Cmd]	
Combat Vessel	PR	PR_Ship_Combat_Vessel	Ship	Non-Aligned		8	8	6			[Stf][Stf]
Darian Wallace	PR	PR_Personnel_Darian_Wallace	Personnel	Federation	SECURITY Anthropology	7	5	6			
D'deridex	PR	PR_Ship_D'deridex	Ship	Romulan	Cloaking Device, Tractor Beam	8	9	7			[Cmd][Stf][Stf]
Divok	PR	PR_Personnel_Divok	Personnel	Klingon	MEDICAL Biology Youth	6	6	8		[Stf]	
Dr. Farek	PR	PR_Personnel_Dr._Farek	Personnel	Non-Aligned	MEDICAL Greed	2	8	3		[Cmd]	
Dr. Leah Brahms	PR	PR_Personnel_Dr._Leah_Brahms	Personnel	Federation	ENGINEER ENGINEER	7	9	2		[Holo]	
Dukath	PR	PR_Personnel_Dukath	Personnel	Klingon	SCIENCE Archaeology	5	6	7		[Stf]	
Exocomp	PR	PR_Personnel_Exocomp	Personnel	Federation	ENGINEER On your ship, repairs damage (as if docked).	9	8	1			
Fek'lhr	PR	PR_Personnel_Fek'lhr	Personnel	Klingon	V.I.P. Honor Treachery	6	1	15		[Holo]	
Galathon	PR	PR_Personnel_Galathon	Personnel	Romulan	OFFICER Archaeology Greed Treachery	3	7	9		[Cmd]	
Giusti	PR	PR_Personnel_Giusti	Personnel	Federation	OFFICER Youth	7	6	4		[Stf]	
Gorath	PR	PR_Personnel_Gorath	Personnel	Klingon	SECURITY Honor	6	4	7		[Stf]	
Gorta	PR	PR_Personnel_Gorta	Personnel	Non-Aligned	ENGINEER Physics Greed	3	7	4			
Husnock Ship	PR	PR_Ship_Husnock_Ship	Ship	Non-Aligned	Holodeck, Tractor Beam	6	9	12			[Cmd][Stf][Stf]
I.K.S. K'Vort	PR	PR_Ship_I.K.S._K'Vort	Ship	Klingon	Cloaking Device, Tractor Beam	8	6	6			[Stf]
I.K.S. Vor'Cha	PR	PR_Ship_I.K.S._Vor'Cha	Ship	Klingon	Cloaking Device, Tractor Beam	9	8	7			[Cmd][Stf][Stf]
Jaron	PR	PR_Personnel_Jaron	Personnel	Romulan	SECURITY Geology Youth	4	7	9		[Stf]	
J'Dan	PR	PR_Personnel_J'Dan	Personnel	Klingon	SCIENCE Exobiology Treachery	2	6	6		[Stf]	
Jera	PR	PR_Personnel_Jera	Personnel	Romulan	MEDICAL Biology Youth	4	7	6		[Holo]	
Klag	PR	PR_Personnel_Klag	Personnel	Klingon	OFFICER Navigation	6	5	7		[Cmd]	
Kle'eg	PR	PR_Personnel_Kle'eg	Personnel	Klingon	SECURITY Honor	6	4	7		[Stf]	
Kromm	PR	PR_Personnel_Kromm	Personnel	Klingon	ENGINEER Physics	5	6	8		[Stf]	
K'Tesh	PR	PR_Personnel_K'Tesh	Personnel	Klingon	ENGINEER Stellar Cartography	5	5	6		[Holo]	
Linda Larson	PR	PR_Personnel_Linda_Larson	Personnel	Federation	ENGINEER Youth	7	5	4		[Stf]	
McKnight	PR	PR_Personnel_McKnight	Personnel	Federation	OFFICER Navigation Youth Music	5	6	3		[Stf]	
Mendon	PR	PR_Personnel_Mendon	Personnel	Federation	SCIENCE Physics	7	5	2		[Stf]	
Mercenary Ship	PR	PR_Ship_Mercenary_Ship	Ship	Non-Aligned	Long-Range Scan Shielding	7	7	7			[Stf][Stf]
Narik	PR	PR_Personnel_Narik	Personnel	Non-Aligned	ENGINEER Computer Skill	2	7	6		[Stf]	
Palteth	PR	PR_Personnel_Palteth	Personnel	Romulan	ENGINEER Computer Skill	3	8	7		[Stf]	
Runabout	PR	PR_Ship_Runabout	Ship	Federation		7	5	5			
Science Vessel	PR	PR_Ship_Science_Vessel	Ship	Romulan		8	5	6			
Scout Vessel	PR	PR_Ship_Scout_Vessel	Ship	Romulan		9	3	3			
Selok	PR	PR_Personnel_Selok	Personnel	Romulan	V.I.P. Treachery	4	8	5		[Stf]	
Simon Tarses	PR	PR_Personnel_Simon_Tarses	Personnel	Federation	MEDICAL Youth	6	5	5			
Sir Isaac Newton	PR	PR_Personnel_Sir_Isaac_Newton	Personnel	Federation	SCIENCE Physics x 2	7	11	3		[Holo]	
Sito Jaxa	PR	PR_Personnel_Sito_Jaxa	Personnel	Federation	SECURITY Navigation Youth	8	6	6		[Stf]	
Taitt	PR	PR_Personnel_Taitt	Personnel	Federation	SCIENCE Stellar Cartography Geology	6	7	4		[Stf]	
Takket	PR	PR_Personnel_Takket	Personnel	Romulan	MEDICAL Exobiology	4	7	7		[Cmd]	
Tallus	PR	PR_Personnel_Tallus	Personnel	Romulan	OFFICER Leadership	3	7	7		[Cmd]	
Tarus	PR	PR_Personnel_Tarus	Personnel	Romulan	SCIENCE Stellar Cartography	4	8	7		[Stf]	
Taul	PR	PR_Personnel_Taul	Personnel	Romulan	SECURITY Treachery Archaeology	4	7	8		[Stf]	
Taurik	PR	PR_Personnel_Taurik	Personnel	Federation	ENGINEER Mindmeld	7	7	8		[Stf]	
Thei	PR	PR_Personnel_Thei	Personnel	Romulan	OFFICER Geology Physics	4	6	8		[Cmd]	
Tomek	PR	PR_Personnel_Tomek	Personnel	Romulan	ENGINEER Astrophysics	4	7	6		[Holo]	
Torin	PR	PR_Personnel_Torin	Personnel	Klingon	SCIENCE Astrophysics	7	6	6			
Vekor	PR	PR_Personnel_Vekor	Personnel	Non-Aligned	SCIENCE MEDICAL Navigation Geology	2	7	6		[Cmd]	
Benjamin Maxwell	PR	PR_Personnel_Benjamin_Maxwell	Personnel	Federation	OFFICER Leadership	9	7	5		[Cmd]	
B'Etor	PR	PR_Personnel_B'Etor	Personnel	Klingon	V.I.P. Treachery Leadership Physics Youth Greed	2	8	7		[Cmd]	
